county_fips,state_name,county_name,mobility_score,ai_exposure
05003,Arkansas,Ashley,0.42423958,1.569059
05005,Arkansas,Baxter,0.43419215,1.544387
05007,Arkansas,Benton,0.46844584,0.4942404
05009,Arkansas,Boone,0.45394665,0.0815986
05011,Arkansas,Bradley,0.45219415,-0.7999387
05013,Arkansas,Calhoun,0.45049942,-0.8669834
05015,Arkansas,Carroll,0.47430545,-0.8334183
05017,Arkansas,Chicot,0.37506798,-0.7417227
05019,Arkansas,Clark,0.42745528,1.200896
05021,Arkansas,Clay,0.45136392,-1.05773
05023,Arkansas,Cleburne,0.4763425,1.373606
05025,Arkansas,Cleveland,0.43750316,0.9567203
05027,Arkansas,Columbia,0.41178617,-0.6167367
05029,Arkansas,Conway,0.47331908,1.157737
05031,Arkansas,Craighead,0.44093156,-0.1129257
05033,Arkansas,Crawford,0.44374108,0.05022
05035,Arkansas,Crittenden,0.37574762,-0.0467343
05037,Arkansas,Cross,0.42981333,0.0002297
05039,Arkansas,Dallas,0.39614743,-2.776741
05041,Arkansas,Desha,0.41229174,-0.2465958
05043,Arkansas,Drew,0.43332133,0.9420977
05045,Arkansas,Faulkner,0.44397271,0.3582212
05047,Arkansas,Franklin,0.45501766,0.5261148
05049,Arkansas,Fulton,0.4910008,-0.6952922
05051,Arkansas,Garland,0.41961667,0.2424662
05053,Arkansas,Grant,0.47509584,-1.701272
05055,Arkansas,Greene,0.45711148,0.4557584
05057,Arkansas,Hempstead,0.42502519,2.068394
05059,Arkansas,Hot Spring,0.41895899,1.263164
05061,Arkansas,Howard,0.45547178,1.989296
05063,Arkansas,Independence,0.46097496,-0.2189334
05065,Arkansas,Izard,0.4516342,1.673775
05067,Arkansas,Jackson,0.4550544,0.5141554
05069,Arkansas,Jefferson,0.38456833,0.8384994
05071,Arkansas,Johnson,0.45767328,1.661813
05073,Arkansas,Lafayette,0.39248845,0.0530177
05075,Arkansas,Lawrence,0.46980679,0.1289226
05077,Arkansas,Lee,0.41407007,0.6714036
05079,Arkansas,Lincoln,0.42401904,-2.157956
05081,Arkansas,Little River,0.43966076,0.4126382
05083,Arkansas,Logan,0.46146753,-1.042904
05085,Arkansas,Lonoke,0.43699503,0.3408749
05087,Arkansas,Madison,0.48760474,-1.408683
05089,Arkansas,Marion,0.45231828,-1.617299
05091,Arkansas,Miller,0.39136395,-0.3514313
05093,Arkansas,Mississippi,0.39732358,-1.048406
05095,Arkansas,Monroe,0.40961406,0.0951928
05097,Arkansas,Montgomery,0.45595995,-2.34705
05099,Arkansas,Nevada,0.44645825,-0.3806181
05101,Arkansas,Newton,0.44768763,3.226693
05103,Arkansas,Ouachita,0.40184993,1.618598
05105,Arkansas,Perry,0.45902574,-1.698376
05107,Arkansas,Phillips,0.35549074,2.348859
05109,Arkansas,Pike,0.45627171,0.90951
05111,Arkansas,Poinsett,0.43557435,2.032707
05113,Arkansas,Polk,0.44451782,0.4492548
05115,Arkansas,Pope,0.44610709,-0.6793282
05117,Arkansas,Prairie,0.4812358,-0.8828939
05119,Arkansas,Pulaski,0.39117056,1.009192
05121,Arkansas,Randolph,0.4885509,1.650785
05123,Arkansas,St. Francis,0.37228122,0.7806879
05125,Arkansas,Saline,0.44103825,-0.5755793
05127,Arkansas,Scott,0.47315839,-1.597325
05129,Arkansas,Searcy,0.48800901,1.265411
05131,Arkansas,Sebastian,0.42453533,0.4003395
05133,Arkansas,Sevier,0.47442132,2.42839
05135,Arkansas,Sharp,0.47389662,1.535522
05137,Arkansas,Stone,0.46382084,1.011215
05139,Arkansas,Union,0.41084552,-0.3513529
05141,Arkansas,Van Buren,0.46189994,-0.8302271
05143,Arkansas,Washington,0.45030028,-0.0025898
05145,Arkansas,White,0.46236947,0.515352
05147,Arkansas,Woodruff,0.42883104,0.0660676
05149,Arkansas,Yell,0.46686557,-1.020333
06001,California,Alameda,0.45414183,1.347146
06005,California,Amador,0.47773975,-0.4450736
06007,California,Butte,0.42008585,0.590818
06009,California,Calaveras,0.46968821,-0.9792489
06011,California,Colusa,0.50042611,0.690569
06013,California,Contra Costa,0.44665852,0.9736545
06015,California,Del Norte,0.41979113,-0.2263806
06017,California,El Dorado,0.45308638,0.4658881
06019,California,Fresno,0.41032299,0.0376222
06021,California,Glenn,0.47117373,-1.080643
06023,California,Humboldt,0.38851792,0.736424
06025,California,Imperial,0.42733926,-0.6152348
06027,California,Inyo,0.45656696,-1.260334
06029,California,Kern,0.439502,-0.5665412
06031,California,Kings,0.43142906,-0.5597121
06033,California,Lake,0.41401011,1.435268
06035,California,Lassen,0.44658807,1.893984
06037,California,Los Angeles,0.43055683,1.266307
06039,California,Madera,0.44115698,-1.65042
06041,California,Marin,0.47898364,0.8926214
06043,California,Mariposa,0.44137836,-0.4155879
06045,California,Mendocino,0.42678156,-0.3748482
06047,California,Merced,0.43325832,-0.3931176
06049,California,Modoc,0.43809563,1.008934
06051,California,Mono,0.50869256,-2.053624
06053,California,Monterey,0.45544386,-1.942871
06055,California,Napa,0.47985217,-0.6777727
06057,California,Nevada,0.4297753,0.4116487
06059,California,Orange,0.45335567,0.9908797
06061,California,Placer,0.44969583,0.5095767
06063,California,Plumas,0.44512993,0.1996332
06065,California,Riverside,0.42882836,-0.0689461
06067,California,Sacramento,0.42478964,1.056343
06069,California,San Benito,0.46919948,-2.110897
06071,California,San Bernardino,0.42660666,0.2020231
06073,California,San Diego,0.43977574,1.175884
06075,California,San Francisco,0.49195421,2.381225
06077,California,San Joaquin,0.43738985,-0.33886
